userName,score,at,content
Ases Laviola,5,2025-12-11 09:03:11,bagus sekali
Faridl Fadhillah,1,2025-12-11 09:03:06,"terimakasih telah menyulitkan saya untuk login. nomor telepon saya sudah tidak aktif, dan saya ingin mengganti nomor telepon tapi tidak bisa login karena nomor telepon saya tidak aktif. biasanya login tinggal pake email, kok sekarang dipersulit?"
Sahril Abdullah,5,2025-12-11 09:02:26,aplikasi ini simpel dan aman saat dipakai mempermudah urusan kelistrik kan.sangat bagus sekalii
sosmed selamat,5,2025-12-11 09:00:26,"masyaaAlloh coorporasi yg satu ini ngikutin perkembangan, terus eksis berkarya dan berjaya untuk negeri tercinta.."
Khai Anas,5,2025-12-11 09:00:23,"Aplikasi pln mobil sangat memudahkan kami dalam urusan listrik,baik dalam melaporkan keluhan"
Ir. Habibie,5,2025-12-11 08:59:42,"Jauh lebih mudah pelayanannya. Terimakasih fast responsnya, pertahankan untuk pelayanan terbaiknya. Bravo untuk PLN, Pertahankan, Makin banyak Promonya, terus bersinar & Sukses ğŸ‘"
Karnoto Karnoto,5,2025-12-11 08:59:17,oke
Herman 88,5,2025-12-11 08:58:49,"sangat bagus dan bermanfaat bgi masyarakat,the bestğŸ‘ğŸ»ğŸ‘ğŸ»"
Keisa 12,5,2025-12-11 08:58:15,cepat dalam pelayanan
Virgo Igo,5,2025-12-11 08:58:05,Aplikasi nya sangat membantu pelanggan
Nurul Aini,5,2025-12-11 08:57:46,mantap
Rusliar,5,2025-12-11 08:57:10,"pln semakin keren semenjak ada pln mobile, semuanya jadi mudah"
Nur Alang,5,2025-12-11 08:56:56,Terdapat Diskon murah dan Info menarik
Ngab Y,5,2025-12-11 08:56:23,awesome
Ali Martopo,5,2025-12-11 08:56:04,PLN mobile sangat membantu dalam proses transaksi pembelian token listrik
Hamzan Wadi,5,2025-12-11 08:56:03,nyaman aman selalu menggunakan aplikasi
Afif Affandi,5,2025-12-11 08:55:04,"PLN mobile sangat membantu sekali,banyak fitur yang ada seperti pasang baru pembelian token perubahan daya trmksi PLN mobile"
Dahuri Daud,5,2025-12-11 08:54:27,untuk pembayaran listrik lebih murah dari bank...
KAKA Collections,5,2025-12-11 08:54:08,"Alhamdulillah masalah mcb lemah teratasi, terimakasih banyak respon dan teknisi nya sangat cepat. barakallah ya pak hujan2 masih datang benarin listrikrumah sayağŸ™"
Abdul Rohman,5,2025-12-11 08:53:28,"Tepat & cepat,, pln mobile mantulğŸ‘ğŸ‘"
Mardi ansyah,5,2025-12-11 08:52:08,"good job,"
Danzzyx ??,5,2025-12-11 08:51:49,pln cepat aman dan selalu sigap dalam menjalani kan tugas
Mira Ira,5,2025-12-11 08:49:37,"plm bomile sangat bagus, aplikasi yang baik dan respon ya yang cepat"
Udin tea 212,5,2025-12-11 08:48:25,sangat nagus
Strum pK,5,2025-12-11 08:47:59,Bagusss sangatlah mudah
Agustan Agu,5,2025-12-11 08:46:23,terdapat diskon tarif dan tambah daya
Mutia Rahim,5,2025-12-11 08:45:47,"cepat respon,"
Larasati Putri,5,2025-12-11 08:45:20,"PLN mobile ini kami gunakan saat mau pengajuan pasang listrik, tanpa perlu ke kantor PLN kami langsung dilayani sama petugas PLN yang sangat ramah"
Saskiya Ahmad,5,2025-12-11 08:45:12,"Baguss digunakan, sangat membantu"
Mustafa Ramadan,5,2025-12-11 08:45:06,mantap
Yusuf Yasir,5,2025-12-11 08:43:16,membaik
Maulana Sandi,5,2025-12-11 08:42:13,dengan adanya aplikasi PLN mobile memudahkan kami beli pulsa dirumah. semoga kedepannya PLN tambah lebih baik dan sukses
Surya akbar,5,2025-12-11 08:41:45,1: penukar an baterai lebih mudah
ARDIYARNO25,5,2025-12-11 08:41:37,"Aplikasi yang bagus dan keren, sanngat cocok dengan semua kalangan.."
yur nerro,5,2025-12-11 08:40:58,aplikasi bagus
Sintya Lara,5,2025-12-11 08:40:08,"PLN mobile banyak fitur yang membantu pelanggan, aplikasinya sangat mudah digunakan apalagi kami di desa banyak yang gaptek. aplikasinya sangat mudah"
Sri Bintang24,5,2025-12-11 08:39:48,terimakasi pak pln atas pelayanan nya dengan adanya pln mobile lebih muda dan cepat
ARULJAINI86 JAINI,5,2025-12-11 08:38:48,pelayanan oke
Rendy wiryawan,5,2025-12-11 08:38:34,Gg aplikasi PLN
Ardi Pribadi,5,2025-12-11 08:38:16,semakin mudah kalo ada masalah listrik tinggal klik ğŸ˜
Nurul Jaini,5,2025-12-11 08:38:09,pas mantab
Marta Nggiri,5,2025-12-11 08:37:43,Aplikasi PLN mobile sangat membantu dan mudah digunakan.
Naftali Natha,5,2025-12-11 08:37:37,terimakasih mebuat semuanya jadi lebih praktis...
Heru Purnomo,5,2025-12-11 08:37:36,apk sangat membantu dan lebih mudah
SANTRI JTRG,5,2025-12-11 08:37:27,mantap Abis oke
Dwi Utari,5,2025-12-11 08:37:27,aplikasinya mudah digunakan dalam pelayanan pengaduan
Revo badru,5,2025-12-11 08:37:26,keren sekali aplikasi PLN
Abid Al'lail,5,2025-12-11 08:37:26,aplikasi ini sangat membantu sekali terimakasih
Aqil rafa,5,2025-12-11 08:36:51,mantap aplikasi PLN
Mastura,5,2025-12-11 08:36:39,terdapat info diskon dan tambah daya
Muhammad bobi,5,2025-12-11 08:36:31,keren sekali aplikasi PLN
rahman harahap,5,2025-12-11 08:35:33,good
Suliwah,5,2025-12-11 08:34:29,terbaik
Alpha Betrix,5,2025-12-11 08:34:00,PLN mobile terbaik
Kiano Anugrah,5,2025-12-11 08:33:28,"Mantap sekali aplikasi pln mobile ini, membantu banget pasang baru, cek tagihan sama beli token the best pokoknya ğŸ‘ğŸ¼ğŸ‘ğŸ¼ğŸ‘ğŸ¼"
Yandal1 Probolinggo,5,2025-12-11 08:33:08,aplikasi sngat membantu
Wati,5,2025-12-11 08:33:01,terdapat info diskon dan tambah daya
ahmad saifuddin,5,2025-12-11 08:32:20,mudah di gunakan
Tini Ani,5,2025-12-11 08:30:03,sangat membantu dalam pelayanan naik daya maupun pasang baru terimakasih atas ada nya aplikasi pelayanan PLN mobile
Rafa' Kailany,5,2025-12-11 08:29:33,goood
Deni Lyawati,5,2025-12-11 08:29:17,"pln mobile sangat berguna bagi masyarakat,pln mobile semakin maju,dan berkelas."
hardi sw,5,2025-12-11 08:29:00,Aplikasi sangat membantu.. Mudah digunakan.. tidak perlu repot lagi untuk pelaporan dan pembelian. Semoga PLN semakin jaya
Borizal Edi,5,2025-12-11 08:28:57,"Aplikasi pln mobile memudahkan pelanggan untuk mengetahui berapa informasi tagihan, mempermudah aduan jika mengalami keluhan kelistrikan"
Wahyunir Nizar,5,2025-12-11 08:28:06,Saya jadi mudah cek2 tagihan listrik. Pelayanan juga ramah dan cepat. Makasi PLN
s1mzy garage,5,2025-12-11 08:26:59,"aplikasi yang gercep,mudah digunakan,tidak nguras kuota"
Daren keyz (n),5,2025-12-11 08:26:14,Sangat membantu & mudah dipahami..
Anggita,5,2025-12-11 08:26:10,"PLN Mobile sangat membantu, karena memudahkan dalam pengajuan tambah daya tanpa harus ke kantor PLN"
ahmad arif,5,2025-12-11 08:25:58,pelayanan PLN sudah membaik yang mana menggunakan laporan manual sekarang sudah menggunakan PLN mobile.
Hendra Hermawan,5,2025-12-11 08:25:36,pln kramat jati tempatnya nyaman dan bagus
Paud Hk,5,2025-12-11 08:25:12,memudahkan segala urusan yg bersangkutan dengan kelistrikan pokonya PLN mobile luar biasa..
Akiss,5,2025-12-11 08:23:30,"Dengan transaksi pln mobile, sekarang transaksi pembelian token jadi lebih mudah mantap terimakasih PLN MobileğŸ‘ğŸ‘"
Naufal Haidar,5,2025-12-11 08:22:50,terimakasih atas bantuannya
Lisa Septiani,5,2025-12-11 08:22:15,sangat membantu terimakasih ulp Selatpanjang
Muhammad Sigit,5,2025-12-11 08:21:58,cepet
Darni Darni,5,2025-12-11 08:21:08,Terdapat Info menarik dan diskon murah
Agustinus Lake,5,2025-12-11 08:20:56,pln mobile hadir BS membantu skli.pengaduan LBH mudah di sini labh cepat di atasi..dan fitur promo tambh daya jg BS dpati jg disini
Wahyu Pranata,5,2025-12-11 08:20:32,Baik
Tri Hartanto,5,2025-12-11 08:20:26,Aplikasi mempermudah pelanggan untuk pelayanan listrik.
Sakilah Sakilah,5,2025-12-11 08:20:22,mantap memudahkan ojol untuk ganti baterai ğŸ”‹
Alimin gabrisch,5,2025-12-11 08:20:13,sangat mudah di gunakan
Maldi Saputra,5,2025-12-11 08:20:00,aplikasi PLN mobile sangat bagus... memudahkan saya dalam transaksi masalah listrik... dan petugas nya juga baik...
zakaria jaka,5,2025-12-11 08:19:47,kami terbantu oleh pln
Yazid Muhammad,5,2025-12-11 08:19:29,terimakasih
Nunung Nurhayati,5,2025-12-11 08:18:48,Dengan adanya PLN MOBILE semua permobona ataupun pengaduan jadi mudah
Sitanggang Sitanggang,5,2025-12-11 08:18:34,"aplikasi nya sangat bagus dan bisa melihat promo""naik daya,mantap."
Baso Rifky,5,2025-12-11 08:17:04,pln mobile sangat berguna bagi pelanggan pln
Lando InoEcha,5,2025-12-11 08:16:53,PLN Terbaikâš¡âš¡âš¡
tika mei,5,2025-12-11 08:16:49,"Beli token prabayar via PLN Mobile instan aman, analisis konsumsi pintar bantu hemat energi, aplikasi superapp masa depan"
Her Pengen,5,2025-12-11 08:16:45,praktis pke nya...pkonya mntap dah
Rova Azrian,5,2025-12-11 08:16:41,"Alhamdulillah makin nyaman pakai aplikasi pln mobile, mudah,cepat, trnsparan dan murah. buat kalian rekomded ni aplikasi untuk apapun urusan kalian dg listrik/pln."
Ainul Fitria,5,2025-12-11 08:16:04,pln mobile bisa lihat tagihan listrik pakai swacam
Deni marjuik,5,2025-12-11 08:15:55,"Aplikasi yang sangat user- friendly, Informatif dan fleksibel, sangat Recommended sekali biar ngurusin masalah kelistrikan gak pakai ribet. Kalau ada kendala pengaduan lewat aplikasi juga sangat fast response Service pelanggannya maksimal. Aplikasi membatu, saat adanya gangguan listrik bisa langsung tracking dan cepat penanganan, juga informasi terbaru terkait pemadaman listrik, migrasi, tambah daya,tagihan pasang baru dsb. Tingkatkan terus aplikasinya, Terimakasih"
Xavier Handsome,5,2025-12-11 08:15:28,"Aplikasi yang sangat membantu dan memudahkan pelanggan listrik PLN untuk melaporkan gangguan padam, tagihan listrik dan pembelian token."
Hasmawati Laudin,5,2025-12-11 08:15:22,mantapğŸ‘
Hp android,5,2025-12-11 08:14:43,aplikasi terbaik untuk peloparan gangguan listrik dan admin nya juga murah buat beli token
Riko Hartanto,5,2025-12-11 08:14:33,aplikasi nya cukup bagus dan pekerjaan nya seperti yg di janjikan
nike diana,5,2025-12-11 08:14:18,"kumpulkan poin, redeem token. mantep"
Gustina 21,5,2025-12-11 08:11:52,Dapat membaca meter secara mandiri dan dapat melakukan pelaporan melalui aplikasi
tasmin andika,5,2025-12-11 08:11:43,baik
Honaina Honaina,5,2025-12-11 08:11:27,bermanfaat
Elias Manu,5,2025-12-11 08:11:25,Semua semakin mudah bertransaksi....
tasmin andika,5,2025-12-11 08:11:17,baik
Nia Tiniawati,5,2025-12-11 08:11:05,Dg pln mobile memudahkan saya untuk mengajukan gangguan listrik di daerah saya dan membeli token
Sukamto Hamoratorda,5,2025-12-11 08:10:44,sangat membantu sekali...
Rivka Anisa meliyana,5,2025-12-11 08:10:08,aplikasi pln ini sangat membantu segala permasalahan listrik
Novi Anti,5,2025-12-11 08:09:53,sangat baik
Ronald Turang,5,2025-12-11 08:08:48,mudah dan bermanfaat untuk pelanggan pln
viki effendy,5,2025-12-11 08:06:23,Terbaik dan Informatif
restu pati,5,2025-12-11 08:05:53,lancar selalu
mushlih madhani,5,2025-12-11 08:04:44,Terima kasih atas layanan PLN yang tiada henti semoga PLN makin jaya dan amanah dalam tugasnya sehingga kejaya'an ini bertambah berkah
Mina Harefa,5,2025-12-11 08:04:06,dengan menggunakan aplikasi pln mobile semua lebih mudah
dorce lerek,5,2025-12-11 08:03:36,dengan aplikasi kami lebih mudah untuk melapor
Dut Rusli,5,2025-12-11 08:03:15,Aplikasi sangat membantu untuk pengaduan dan akses pengurusan kelistrikan lainnya Sangat bagus karena mempermudah pelanggan terlebih saya pribadi untuk melakukan jadi tidak perlu repot2 ke kantor
Zainul Arifin,5,2025-12-11 08:02:24,"istimewa pelayanan cepat dan ramah,petugas yambung cakep jos jis"
Rahmat Situl,5,2025-12-11 08:02:07,"aplikasi sangat bagus ,dgn ada nya pln mobile lebih memudahkan membeli token dan pembayaran"
YantoImn 0176,5,2025-12-11 08:02:01,sangat terbantu..terima kasih
Yoris Mauloo,5,2025-12-11 08:01:44,"Dengan PLN mobile, beli token listrik jadi lebih mudah."
Turini,5,2025-12-11 08:01:26,PLN mobile TOP
Asilahusna Husna,5,2025-12-11 08:01:03,kerja bagus
Generasi Anime,5,2025-12-11 08:00:22,mantap skali PLN mobile sangat mudah terbaikkk
Nunez Nunez,5,2025-12-11 08:00:01,Aplikasi PLN mobile bagus banget
HARMANSYAH 1,5,2025-12-11 07:59:55,"aplikasinya sangat bagus mudah difahami bisa melihat promo promo,semoga kedepannya semakin bagus"
Odie Oday,5,2025-12-11 07:59:46,sangat dingin
mentis subagyo,5,2025-12-11 07:59:43,top
Rosi Rosi,5,2025-12-11 07:59:00,Bagus bnget aplikasinya
Rasa Cinta,5,2025-12-11 07:58:44,sangat membantu dalam pelayanan online.
Philippe Jhon,5,2025-12-11 07:58:26,"aplikasi nya sangat bagus,mudah di gunakan fitur-fitur nya lengkap banget,bisa melihat promo promo pembayaran pokoknya aplikasinya bagus semoga kedepannya lebih bagus lagi"
KJR16 SBY,5,2025-12-11 07:58:25,bagus sekali gaes
Jimmy Ch,5,2025-12-11 07:58:11,Terima kasih pln... tanggapan cepat
Roni abdilah,5,2025-12-11 07:57:15,memberikan pengalaman yg memudahkan pelanggan
andrea dian,5,2025-12-11 07:57:04,keren ğŸ‘ğŸ»
emi susyanti,5,2025-12-11 07:56:38,top pelayananğŸ‘ğŸ‘
iansentani,5,2025-12-11 07:56:29,sangat membantu kalau di hari libur tidak perlu ke kantor lagi dan biaya lebih mudah
Kevin Pakaya,5,2025-12-11 07:56:16,di permudah dalam segala keliatrikan
abdus salam,5,2025-12-11 07:56:00,Sangat membantu.
Angki Dou,5,2025-12-11 07:55:57,"Aplikasi PLN MOBILE ini sangat membantu Kita Dalam proses catat meter mandiri,,"
Coba Coba,5,2025-12-11 07:55:57,Terdapat informasi dan Diskon Tambah daya yang mantappp
Dyan Candra,5,2025-12-11 07:55:34,terbaik
Try Riono,5,2025-12-11 07:54:25,makin mudah dan simpel dengan PLN mobile
Teguh Haryanta,5,2025-12-11 07:54:08,fitur dan pelayanan sangat baik... semoga diskon diskonya selalu ada... manttaabb
Muhammad â€œANDREASâ€ Fajar,5,2025-12-11 07:53:59,KEREN
liza nuhaliza,5,2025-12-11 07:53:03,"PLN mobile keren, sangat membantu dan memudahkan dalam bertransaksi ğŸ‘"
Bagus Ary Fandi,1,2025-12-11 07:52:04,"busuk app nya, setelah log out minta daftar ulang."
Kirman Sukirman,5,2025-12-11 07:51:51,"PLN mobile sangat membantu sekali ketika di butuhkan, pelayanan bagus"
Kons Mite,5,2025-12-11 07:51:43,Aplikasi sangat membantu & sangat memudahkan kita untuk pelaporan gangguan
Suparno Pranoto,5,2025-12-11 07:50:30,"Terbaik, mudah digunakan"
Zaleha Leha,5,2025-12-11 07:50:30,aplikasi pln mobile mepermudah urusan pln pln mobile keren
Salla Diba,5,2025-12-11 07:50:12,mudah membayar listrik
Ifin Lono Basuki,5,2025-12-11 07:50:11,Pelayanan cepat dan komunikatif
BENI HERMANTO,5,2025-12-11 07:49:56,sangat membantu
Gede Oka,5,2025-12-11 07:49:46,aplikasi pln mobile sangat bagus dan cepat pelayanannya
Ikbal Muhammad,5,2025-12-11 07:48:20,Terima kasih PLN karna telah memberikan yg terbaik
Septiana Ningsih16,5,2025-12-11 07:47:17,"Respon cepat , petugas baik . Terimakasih PLN"
Oktavia Prima Bili,5,2025-12-11 07:47:13,aplikasinya sangat membantu saya dan keluarga dalam masalah gangguan listrik.
Wayan Sudirka,5,2025-12-11 07:46:27,top banget
Biru Laut,5,2025-12-11 07:46:14,bagus
Reza Putra,5,2025-12-11 07:45:03,"Sangat membantu,dan respon cepat dalam penanganan masalah.."
Latinur,5,2025-12-11 07:44:16,"Saya baru tau kalau aplikasi pln sebagus ini,jadi mudah beli token saya dirumah. Makasi ya PLN semoga jaya selalu"
Sugeng Sutanto,5,2025-12-11 07:43:48,sangat baik
Wardana Putra,1,2025-12-11 07:43:09,KAGAK BISA CETAK STRUK
rahwandi zein,5,2025-12-11 07:42:53,"aplikasinya semakin bagus dan lengkap bisa di dipakai buat bayar PDAM,beli pulsa dan lainnya,tambah sukses PLN mobile kedepannya.terimkasih"
Rizal Muhajir,5,2025-12-11 07:42:53,mudah di gunakan
Ester Natu,5,2025-12-11 07:42:49,Gangguan listrik lapor di pln mobile
Daniel Enco,5,2025-12-11 07:42:42,"PLN mobile sangat memberi saya kemudahan dalam proses tambah daya dari rumah, Terimakasih PLN mobile"
adji dwi,5,2025-12-11 07:41:59,baik
Stanislaus Odang,5,2025-12-11 07:39:38,tambah daya jadi lebih mudah
arya angga saputra,5,2025-12-11 07:37:12,aplikasi ini sangat membantu masyarakat dalam masalah kelistrikan menu yang di sediakan cukup memadai
moh amin hariyadi,5,2025-12-11 07:36:23,"""Terima kasih Pln.. ğŸ™ ""Mudah... tanggapan cepat.. sangat membantu dlm hal kelistrikan... ğŸ™"
Fadhil Hidayat,5,2025-12-11 07:35:58,"Aplikasi PLN Mobile sangat membantu, saya bisa memantau penggunaan listrik saya setiap hari"
Biduan Bersayap,5,2025-12-11 07:35:41,terbaik
supriyatno 48892,5,2025-12-11 07:35:32,gercep
Dhika R,5,2025-12-11 07:35:23,Respon cepat
Biduan Masakini,5,2025-12-11 07:34:51,terbaik
yuri anto,5,2025-12-11 07:33:54,sangat membantu
Fikri Jr,5,2025-12-11 07:33:07,aplikasi ini sangat bermanfaat untuk pembayaran pulsa listrik
Lala Putri,5,2025-12-11 07:32:52,Selalu gunakan aplikasi PLN mobile agar transaksi bisa cepat dan tepat karena bisa dilakukan kapanpun dan dimanapun .
inco .26,5,2025-12-11 07:32:41,PLN Terbaik
syaiful rizal,5,2025-12-11 07:31:26,terimakasih pln mobile sangat membantu
christian fredericky,5,2025-12-11 07:31:21,semua pelayanan mudah dalam satu genggaman
